comments,brand_name,cleaned_comment
Outstanding quality,Edenrobe,outstanding quality
Expensive,Edenrobe,expensive
Shoping place garments etc,Edenrobe,shoping place garments etc
Male kurtas variety is eexcellent,Edenrobe,male kurtas variety is eexcellent
Nice shop with different clothes categories.,Edenrobe,nice shop with different clothes categories
I m loving it. Good place for shopping,Edenrobe,i m loving it good place for shopping
"It is present inside ACE shopping mall ,Eden robe is one of the pioneers of branded clothing in bahawalpur and now it has attained a fame as now they have complete range of cultural and western styled clothes ,it provides best fabric with large range of variety and is popular among the residents of town",Edenrobe,it is present inside ace shopping mall eden robe is one of the pioneers of branded clothing in bahawalpur and now it has attained a fame as now they have complete range of cultural and western styled clothes it provides best fabric with large range of variety and is popular among the residents of town
Nice shopping mall for clothes and everything,Edenrobe,nice shopping mall for clothes and everything
"Good quality jersies, upper and everything you want for men women and kids",Edenrobe,good quality jersies upper and everything you want for men women and kids
Good and quality stuff at medium price range....,Edenrobe,good and quality stuff at medium price range
Very nice mall in bahawalpur,Edenrobe,very nice mall in bahawalpur
"Everything in Edenrobe was superb.
Quality is also very good",Edenrobe,everything in edenrobe was superb quality is also very good
Funtastic place to do shopping having all items related child and women and man shopping,Edenrobe,funtastic place to do shopping having all items related child and women and man shopping
Outstanding quality,Edenrobe,outstanding quality
Expensive,Edenrobe,expensive
Male kurtas variety is eexcellent,Edenrobe,male kurtas variety is eexcellent
Nice shop with different clothes categories.,Edenrobe,nice shop with different clothes categories
I m loving it. Good place for shopping,Edenrobe,i m loving it good place for shopping
Nice shopping mall for clothes and everything,Edenrobe,nice shopping mall for clothes and everything
"Good quality jersies, upper and everything you want for men women and kids",Edenrobe,good quality jersies upper and everything you want for men women and kids
Good and quality stuff at medium price range....,Edenrobe,good and quality stuff at medium price range
Very nice mall in bahawalpur,Edenrobe,very nice mall in bahawalpur
"Everything in Edenrobe was superb.
Quality is also very good",Edenrobe,everything in edenrobe was superb quality is also very good
Funtastic place to do shopping having all items related child and women and man shopping,Edenrobe,funtastic place to do shopping having all items related child and women and man shopping
One of the best shopping area of city,Edenrobe,one of the best shopping area of city
Such a good shoping mall with reasonable price. 5 star rating,Edenrobe,such a good shoping mall with reasonable price star rating
Nice place,Edenrobe,nice place
Best place for shopping ,Edenrobe,best place for shopping
"I like their  shalwar suit, good clothing stuff with nice stitching",Edenrobe,i like their shalwar suit good clothing stuff with nice stitching
"Excellent quality of stuff,designing n specialy tailoring",Edenrobe,excellent quality of stuffdesigning n specialy tailoring
local products in a plaza,Edenrobe,local products in a plaza
Good for clothes and for women there is a whole bunch of makeup selection area,Edenrobe,good for clothes and for women there is a whole bunch of makeup selection area
Lovely place for shoping,Edenrobe,lovely place for shoping
They always have Wrost collection every season so dont go there.,Edenrobe,they always have wrost collection every season so dont go there
Good,Edenrobe,good
Good for apparels and stitched suiting variety both for ethnic n suiting lovers,Edenrobe,good for apparels and stitched suiting variety both for ethnic n suiting lovers
good quality products,Edenrobe,good quality products
Good choice for shoping,Edenrobe,good choice for shoping
Nice place to shop brands,Edenrobe,nice place to shop brands
Decent shopping complex.,Edenrobe,decent shopping complex
Awesome staff and clothes. Class of legacy,Edenrobe,awesome staff and clothes class of legacy
Great place for shopping fashion garments for all seasons,Edenrobe,great place for shopping fashion garments for all seasons
Best place for wedding shopping,Edenrobe,best place for wedding shopping
Avg,Edenrobe,avg
Good varieties of all types of clothes.,Edenrobe,good varieties of all types of clothes
Best Shopping Mall in bahawalpur,Edenrobe,best shopping mall in bahawalpur
It was a wonderful place for shopping,Edenrobe,it was a wonderful place for shopping
Beautiful place,Edenrobe,beautiful place
Good stuff but expensive,Edenrobe,good stuff but expensive
Good departmental store,Edenrobe,good departmental store
Good place for shopping,Edenrobe,good place for shopping
So much pricy. Should visit bissino or J.,Edenrobe,so much pricy should visit bissino or j
Nice place for shopping,Edenrobe,nice place for shopping
GOOD PLACE,Edenrobe,good place
Love to visit again,Edenrobe,love to visit again
I have always loved shopping here,Edenrobe,i have always loved shopping here
Best pace for shopping,Edenrobe,best pace for shopping
Price high but quality is good,Edenrobe,price high but quality is good
Good shopping mall,Edenrobe,good shopping mall
Good place for shopping,Edenrobe,good place for shopping
"Fabric is absolutelyl soft and  graceful
Thank",Edenrobe,fabric is absolutelyl soft and graceful thank
Clothing western and traditional,Edenrobe,clothing western and traditional
Good to shop garments for whole family,Edenrobe,good to shop garments for whole family
Good varieties of Ace are present here.,Edenrobe,good varieties of ace are present here
Nice but expensive,Edenrobe,nice but expensive
"It was not outstanding, but good",Edenrobe,it was not outstanding but good
Nice,Edenrobe,nice
Costly,Edenrobe,costly
Bad experience,Edenrobe,bad experience
Cool place,Edenrobe,cool place
Amazing mall,Edenrobe,amazing mall
Nice cloth quality,Edenrobe,nice cloth quality
Good,Edenrobe,good
Awesome,Edenrobe,awesome
Bit expensive though,Edenrobe,bit expensive though
Good mall,Edenrobe,good mall
It's okay,Edenrobe,its okay
Good quality product,Edenrobe,good quality product
Nice,Edenrobe,nice
Nice stuff and variety,Edenrobe,nice stuff and variety
Nice brand,Edenrobe,nice brand
Best for price and quality,Edenrobe,best for price and quality
Good brand quality stuff,Edenrobe,good brand quality stuff
Good,Edenrobe,good
Good but expensive,Edenrobe,good but expensive
Located inside ACE Bahawalpur a little bit expensive,Edenrobe,located inside ace bahawalpur a little bit expensive
It's mostly off 30 to 50 %,Edenrobe,its mostly off to
Best for shopping,Edenrobe,best for shopping
It was ok.,Edenrobe,it was ok
Best clothes.,Edenrobe,best clothes
Nice place,Edenrobe,nice place
Good  for  shopping,Edenrobe,good for shopping
Too costly..,Edenrobe,too costly
Good environment,Edenrobe,good environment
Good one,Edenrobe,good one
Nice sooting but costly,Edenrobe,nice sooting but costly
Nice place,Edenrobe,nice place
Awesome Quality,Edenrobe,awesome quality
shopping was good,Edenrobe,shopping was good
Everthing is available on ace,Edenrobe,everthing is available on ace
Good to buy in winter,Edenrobe,good to buy in winter
Excellent variety of clothes for all ages,Edenrobe,excellent variety of clothes for all ages
nice place for shoping,Edenrobe,nice place for shoping
Moderate,Edenrobe,moderate
Excellent !,Edenrobe,excellent
Best place for shoping,Edenrobe,best place for shoping
Excellent,Edenrobe,excellent
Good,Edenrobe,good
Good stuff compared to price,Edenrobe,good stuff compared to price
Nice dressing variety,Edenrobe,nice dressing variety
Good shopping place,Edenrobe,good shopping place
Worth shopping place,Edenrobe,worth shopping place
its good,Edenrobe,its good
Good shoping place,Edenrobe,good shoping place
Good collection,Edenrobe,good collection
Good place to shop,Edenrobe,good place to shop
Good place,Edenrobe,good place
Good Experience,Edenrobe,good experience
Quality,Edenrobe,quality
Good,Edenrobe,good
Nice,Edenrobe,nice
Love to shop,Edenrobe,love to shop
For Brand lovers,Edenrobe,for brand lovers
All in one,Edenrobe,all in one
For quality shopping,Edenrobe,for quality shopping
Reasonable price fabulous variety,Edenrobe,reasonable price fabulous variety
Ace Good&wonderfull,Edenrobe,ace goodwonderfull
Wow shop,Edenrobe,wow shop
Fit dresses,Edenrobe,fit dresses
Good,Edenrobe,good
Good,Edenrobe,good
Expensive,Edenrobe,expensive
Good,Edenrobe,good
Average type,Edenrobe,average type
Brands,Edenrobe,brands
Good,Edenrobe,good
Brand store,Edenrobe,brand store
god,Edenrobe,god
Good place,Edenrobe,good place
good,Edenrobe,good
Below Satisfaction,Edenrobe,below satisfaction
Hit!!!,Edenrobe,hit
Ok,Edenrobe,ok
Good,Edenrobe,good
Good,Edenrobe,good
Worst customer service ever,Edenrobe,worst customer service ever
Nice place.,Edenrobe,nice place
Good,Edenrobe,good
fine,Edenrobe,fine
Good stuff,Edenrobe,good stuff
Medium type of dressing and other articles.,Edenrobe,medium type of dressing and other articles
expensive..but quality,Edenrobe,expensivebut quality
Nice store,Edenrobe,nice store
Normal quality with too much prices.,Edenrobe,normal quality with too much prices
Good,Edenrobe,good
Finely stitched,Edenrobe,finely stitched
Best place for clothing but expensive,Edenrobe,best place for clothing but expensive
Nice place for shopping,Edenrobe,nice place for shopping
Variety of cloths of Men's and Kids.,Edenrobe,variety of cloths of mens and kids
Very good,Edenrobe,very good
"Clothing store
Decent collection",Edenrobe,clothing store decent collection
Nice Shoping Mall,Edenrobe,nice shoping mall
Decent collection,Edenrobe,decent collection
Style,Edenrobe,style
Garments good option,Edenrobe,garments good option
Fine,Edenrobe,fine
Everything at one place,Edenrobe,everything at one place
Not good stuff for XXL,Edenrobe,not good stuff for xxl
Everything's available,Edenrobe,everythings available
Quality variety of cloths,Edenrobe,quality variety of cloths
Nice shoping center,Edenrobe,nice shoping center
Ok type place. With little variety and high prices,Edenrobe,ok type place with little variety and high prices
Lovely awesome,Edenrobe,lovely awesome
Good,Edenrobe,good
Best,Edenrobe,best
Too costly except few items,Edenrobe,too costly except few items
having all seasons stuff and very costly shopping mall in the town.quality service.,Edenrobe,having all seasons stuff and very costly shopping mall in the townquality service
good,Edenrobe,good
"it,s a one of best clothing brand for office suits.",Edenrobe,its a one of best clothing brand for office suits
A shop with good quality and price,engine,a shop with good quality and price
"Good shop for kids, youth and middle aged generation... Staff and Manager are very helpful",engine,good shop for kids youth and middle aged generation staff and manager are very helpful
"I bought a winter shirt with quality stuff, prices r reasonable, dealing is very well but articles are limited overall gud experience.",engine,i bought a winter shirt with quality stuff prices r reasonable dealing is very well but articles are limited overall gud experience
Good service,engine,good service
I love that paints.,engine,i love that paints
Good place for shopping,engine,good place for shopping
Rates are reasonable,engine,rates are reasonable
â¤,engine,â
good as dealing well,engine,good as dealing well
Its ok,engine,its ok
Good,engine,good
Lack of articals but overall a gud experience there,engine,lack of articals but overall a gud experience there
Discounted rates with limited stock.,engine,discounted rates with limited stock
Good one staff Is very Good,engine,good one staff is very good
Affordable brand and good quality garments,engine,affordable brand and good quality garments
Good place fir shopping,engine,good place fir shopping
Always a great experience,engine,always a great experience
Their sales are good.,engine,their sales are good
"Awsome designes.
Their sale strategy is better than others.
Staff is cooperative and designes are not repeated in next season. Sizes and fabric are perfect.",engine,awsome designes their sale strategy is better than others staff is cooperative and designes are not repeated in next season sizes and fabric are perfect
Just ok,engine,just ok
Nice,engine,nice
Awesome Clothes,engine,awesome clothes
Good quality stuff,engine,good quality stuff
Nice,engine,nice
Worth to visit,engine,worth to visit
Awesome,engine,awesome
Good,engine,good
Not a good cloths for choice.,engine,not a good cloths for choice
Great,engine,great
Normal standard,engine,normal standard
The service was nice and the workers were pleasant,FactoryPrice,the service was nice and the workers were pleasant
Good place for shopping ... good products with medium range price,FactoryPrice,good place for shopping good products with medium range price
Nice place for purchas the shirts trozers shorts in economy price,FactoryPrice,nice place for purchas the shirts trozers shorts in economy price
quality is good..,FactoryPrice,quality is good
The clothes quality is good.,FactoryPrice,the clothes quality is good
Best in town,FactoryPrice,best in town
"Fantastic shopping mall is here
I realized that after my yesterday busy
Staff is very friendly and honest",FactoryPrice,fantastic shopping mall is here i realized that after my yesterday busy staff is very friendly and honest
Sky touching prices. No place for try. No washroom. Product on sale was of low quality. Never recommend.,FactoryPrice,sky touching prices no place for try no washroom product on sale was of low quality never recommend
Good ,FactoryPrice,good
Nice and cheap in some case,FactoryPrice,nice and cheap in some case
Substandard garments and high price tags.,FactoryPrice,substandard garments and high price tags
Garments are in Variety.,FactoryPrice,garments are in variety
Extremely expensive!!,FactoryPrice,extremely expensive
Nice shopping place,FactoryPrice,nice shopping place
Ready to wear clothes,FactoryPrice,ready to wear clothes
This is Best,FactoryPrice,this is best
Factory price shop,FactoryPrice,factory price shop
Very good location....almost all brands within 100 meter range...staff is friendly...sometimes lacks latest articles...,Ideas,very good locationalmost all brands within meter rangestaff is friendlysometimes lacks latest articles
Good but quality of fabric is on lower side,Ideas,good but quality of fabric is on lower side
Ideas fan,Ideas,ideas fan
Variety of sritch and unstitch expensive clothes,Ideas,variety of sritch and unstitch expensive clothes
I like this brand gull ahmad,Ideas,i like this brand gull ahmad
Nice,Ideas,nice
Nice place to shop,Ideas,nice place to shop
Expensive but top quality products,Ideas,expensive but top quality products
It's low in quality as compare to prices,Ideas,its low in quality as compare to prices
Customer dealing is very bad now,Ideas,customer dealing is very bad now
Good,Ideas,good
A place for brand conscious people,Ideas,a place for brand conscious people
Nice,Ideas,nice
Nice,Ideas,nice
Best,Ideas,best
Fantastic,Ideas,fantastic
Clothing shop,Ideas,clothing shop
Fine,Ideas,fine
Nice place,Ideas,nice place
Staff was rude when we were asking size.Rates were not affordable.,Ideas,staff was rude when we were asking sizerates were not affordable
Great experience. Amazing products at reasonable sale price.,jdot,great experience amazing products at reasonable sale price
Very well maintained outlet.,jdot,very well maintained outlet
A very good collection for male and female. Must visit for Eid shopping,jdot,a very good collection for male and female must visit for eid shopping
It's always good for me to visit Junaid jamshed. Thank you J.,jdot,its always good for me to visit junaid jamshed thank you j
"Very nice store having all kinds of clothes from baby to baba , ladies and gents collection.",jdot,very nice store having all kinds of clothes from baby to baba ladies and gents collection
Have good experience but not much stuff.They have limited stock.,jdot,have good experience but not much stuffthey have limited stock
"Beautiful looking but too expensive
Products are brand no doubt
I love it",jdot,beautiful looking but too expensive products are brand no doubt i love it
Best perfumes. Matchless fragrances,jdot,best perfumes matchless fragrances
Good place for perfume lover and  standard cosmetic  overall nice,jdot,good place for perfume lover and standard cosmetic overall nice
Best in terms of clothing.,jdot,best in terms of clothing
"One of staff person was very rude, he snatched away clothes from me, pathetic customer service.",jdot,one of staff person was very rude he snatched away clothes from me pathetic customer service
"Overpriced, expensive and rates are high without any reason.
Brands in neighborhood are much more economical and better in both quality and prints.",jdot,overpriced expensive and rates are high without any reason brands in neighborhood are much more economical and better in both quality and prints
Nice staff  nice stuff can purchase every type of gents and ladies staff,jdot,nice staff nice stuff can purchase every type of gents and ladies staff
Flat 40% sale going on.. It's good,jdot,flat sale going on its good
"Hmmm Good
But costly",jdot,hmmm good but costly
Better but expansive,jdot,better but expansive
Everything is fine.Need improvement in management,jdot,everything is fineneed improvement in management
Buy only during sales :) otherwise you will regret it when sale comes.,jdot,buy only during sales otherwise you will regret it when sale comes
very lazy staff.  very pushy,jdot,very lazy staff very pushy
Good Place to shop especially in Sales,jdot,good place to shop especially in sales
"Beautiful    dresses but
Sale  should be   available  every  month",jdot,beautiful dresses but sale should be available every month
Friendly and cooperative staff with latest articles avaialable every season,jdot,friendly and cooperative staff with latest articles avaialable every season
"Amazing collection center,  i will come back soon ",jdot,amazing collection center i will come back soon
Love this place,jdot,love this place
Good environment and strict adherence to the SOPs.,jdot,good environment and strict adherence to the sops
awesome branch,jdot,awesome branch
Never found good quality. 90's stuff suits.,jdot,never found good quality s stuff suits
Unique and good quality stuff 9/10,jdot,unique and good quality stuff
Please remove contact num if u donâ€™t have any time to pick the call,jdot,please remove contact num if u donât have any time to pick the call
This place is really amazing regarding the clothes. Style is their trademark and ofcource quality. I love their fragrances also.,jdot,this place is really amazing regarding the clothes style is their trademark and ofcource quality i love their fragrances also
"Good pakistani clothing. Casual, formal and wedding. Perfumes are excellent.
Upper floor ladies section can get uncomfortably hot in summer ( AC usually turned off).",jdot,good pakistani clothing casual formal and wedding perfumes are excellent upper floor ladies section can get uncomfortably hot in summer ac usually turned off
Nice clothes,jdot,nice clothes
good and simple dresses and fine quality,jdot,good and simple dresses and fine quality
Nothing more to say,jdot,nothing more to say
Nice for cultural wears but size issue is always there problem,jdot,nice for cultural wears but size issue is always there problem
A variety of stitched and un-stitched dresses here for gents and ladies. Price is also reasonable. Staff is very cooperative. Some items are very special but cost is high. Perfumes are also very nice.,jdot,a variety of stitched and unstitched dresses here for gents and ladies price is also reasonable staff is very cooperative some items are very special but cost is high perfumes are also very nice
ðŸ˜•ðŸ˜•ðŸ˜•I am constantly trying to contact you but I am not getting any response. Kindly contact me i have a problem and i have very little time ðŸ˜“ðŸ˜“ðŸ˜“ðŸ˜“ðŸ˜“,jdot,ðÿðÿðÿi am constantly trying to contact you but i am not getting any response kindly contact me i have a problem and i have very little time ðÿðÿðÿðÿðÿ
Best place.....mazaay if u catch a sale of 50percent. Winter cloths are outstanding,jdot,best placemazaay if u catch a sale of percent winter cloths are outstanding
A brand store. Wider space and car parking. Staff is friendly and humble.,jdot,a brand store wider space and car parking staff is friendly and humble
Best Designed Qurta and Clothes for Men And Women,jdot,best designed qurta and clothes for men and women
Nice place,jdot,nice place
Liked,jdot,liked
Nice place for shopping,jdot,nice place for shopping
Excellent service and stuff,jdot,excellent service and stuff
It's a good place to visit and shop stitch and unstitch clothes,jdot,its a good place to visit and shop stitch and unstitch clothes
Their style and clothing is very colorful and ethnic. Staff is very energetic and helpful. They allow you to shop with piece  of mind with no necessary interruption.,jdot,their style and clothing is very colorful and ethnic staff is very energetic and helpful they allow you to shop with piece of mind with no necessary interruption
Superb mind-blowing behavior with customers..,jdot,superb mindblowing behavior with customers
Good for shoping,jdot,good for shoping
Nice place for shopping ladies and gents' suits ..  somewhat costly but very good in quality and designs... Costumer care is also good...,jdot,nice place for shopping ladies and gents suits somewhat costly but very good in quality and designs costumer care is also good
Good quality and also good verity in clothes but price in some clothes are very high,jdot,good quality and also good verity in clothes but price in some clothes are very high
Design,jdot,design
Welcoming staff N beautiful jewellery,jdot,welcoming staff n beautiful jewellery
Not visit,jdot,not visit
"Good staff, good clothes for both men and women , makeup,  perfumes  and good management .",jdot,good staff good clothes for both men and women makeup perfumes and good management
Amazing clothes,jdot,amazing clothes
I like their clothes.,jdot,i like their clothes
"Nice collection for men, women and children. Perfumes are also good",jdot,nice collection for men women and children perfumes are also good
"Good place for fabric,  stuff is also very good , but cozy",jdot,good place for fabric stuff is also very good but cozy
Nice place,jdot,nice place
All things available like garment good stuff especially krta,jdot,all things available like garment good stuff especially krta
Good clothing,jdot,good clothing
Big outlet of J.,jdot,big outlet of j
It was good but needs improvement,jdot,it was good but needs improvement
Wonderful experience of shopping at J.. Alhumdulillah,jdot,wonderful experience of shopping at j alhumdulillah
All the stuff and staff is good but when I talk about the fragrances I love this place.,jdot,all the stuff and staff is good but when i talk about the fragrances i love this place
Excelent clothing brand for both male n female. Also have Fragrances with beautifull taste. Groom collection is very beautifull n affordable. V.helpful staff.must visit n enjoy.,jdot,excelent clothing brand for both male n female also have fragrances with beautifull taste groom collection is very beautifull n affordable vhelpful staffmust visit n enjoy
"Good brand in many cities of pakistan
Good fabric, essential for men and women...",jdot,good brand in many cities of pakistan good fabric essential for men and women
Its nice dress shop their experties are in shalwar kameez...kurta,jdot,its nice dress shop their experties are in shalwar kameezkurta
Good verity nice place for shopping.,jdot,good verity nice place for shopping
New ladies fashion,jdot,new ladies fashion
I like junaid jamshed clothes,jdot,i like junaid jamshed clothes
Great.,jdot,great
Nice place like their products,jdot,nice place like their products
Only one in city,jdot,only one in city
Good place for shopping,jdot,good place for shopping
Great,jdot,great
Good place for men and women clothing,jdot,good place for men and women clothing
Best cultural representative of Pakistani dresses,jdot,best cultural representative of pakistani dresses
"Staff was helpful, altogether a pleasant experience",jdot,staff was helpful altogether a pleasant experience
Nice,jdot,nice
Nice dresses.,jdot,nice dresses
V nice collection of perfumes. Specially zarrar. Kurta collection is good. Unstiched suits are also present. Special colors which are difficult to find on other places like grace can be found here.,jdot,v nice collection of perfumes specially zarrar kurta collection is good unstiched suits are also present special colors which are difficult to find on other places like grace can be found here
A good place to buy good pakistani clothes for whole family,jdot,a good place to buy good pakistani clothes for whole family
It was good but lacks variety.,jdot,it was good but lacks variety
Very nice place to shop,jdot,very nice place to shop
Good stuff with nice quality.,jdot,good stuff with nice quality
Good place,jdot,good place
Classic trendy clothes and shoes with fragrance,jdot,classic trendy clothes and shoes with fragrance
Junaid jamshed is a great shopping center,jdot,junaid jamshed is a great shopping center
Good Place for indeginous clothes,jdot,good place for indeginous clothes
The shop was closed but no mention,jdot,the shop was closed but no mention
Love this shop,jdot,love this shop
This beautiful j. Outlet,jdot,this beautiful j outlet
Average men kurtas yet very high prices. Just cashing the brand name!!,jdot,average men kurtas yet very high prices just cashing the brand name
That was awesome please...,jdot,that was awesome please
Nice place to buy dresses,jdot,nice place to buy dresses
J. Very costly,jdot,j very costly
I don't like the Quality,jdot,i dont like the quality
Prices are high,jdot,prices are high
Good place with reasonable prices,jdot,good place with reasonable prices
Good for emergency clothing,jdot,good for emergency clothing
Sale upto 50 % going on,jdot,sale upto going on
Very nice collection...,jdot,very nice collection
Variety is limited,jdot,variety is limited
Good place for buying clothes,jdot,good place for buying clothes
Atmosphere was awesome,jdot,atmosphere was awesome
staff behavior good,jdot,staff behavior good
Nice.,jdot,nice
Nice collection,jdot,nice collection
Endless variety under one roof,jdot,endless variety under one roof
Can't find good clothes here now a days,jdot,cant find good clothes here now a days
Perfect design with affordable prices,jdot,perfect design with affordable prices
Nice designs at J.,jdot,nice designs at j
Clothing brand j.,jdot,clothing brand j
Good place for Eastern wear,jdot,good place for eastern wear
Outstanding shopping center,jdot,outstanding shopping center
New arrivals,jdot,new arrivals
Awesome,jdot,awesome
Prices are very high.,jdot,prices are very high
Stunning,jdot,stunning
Extremely slow service,jdot,extremely slow service
Wow,jdot,wow
Good,jdot,good
beat one,jdot,beat one
family shoping place,jdot,family shoping place
Nice,jdot,nice
Not experienced staff,jdot,not experienced staff
Awesome,jdot,awesome
Good clothes,jdot,good clothes
Loved it,jdot,loved it
Good,jdot,good
Boteeq at Railway Road opposite Panda Hotel,jdot,boteeq at railway road opposite panda hotel
Good fabric,jdot,good fabric
Perfumes + Clothing Store,jdot,perfumes clothing store
Brand store.,jdot,brand store
Good collection,jdot,good collection
Good,jdot,good
Extra high rates,jdot,extra high rates
Excellent,jdot,excellent
Nice place,jdot,nice place
Traditional and religious clothing,jdot,traditional and religious clothing
Very good,jdot,very good
Its too good,jdot,its too good
Good stuff,jdot,good stuff
Awesome,jdot,awesome
Expensive,jdot,expensive
Limited quality,jdot,limited quality
Reminds you of Junaid Jamshed,jdot,reminds you of junaid jamshed
Level,jdot,level
Excellent,jdot,excellent
Good,jdot,good
Excellent,jdot,excellent
Nice.,jdot,nice
Non cooperative staff,jdot,non cooperative staff
Good outlet,jdot,good outlet
Not bad,jdot,not bad
Nice shop,jdot,nice shop
Nice place,jdot,nice place
Love this,jdot,love this
Best tailor in Bahawalpur,JeanJunction,best tailor in bahawalpur
One of the Best place in Town for Suiting.,JeanJunction,one of the best place in town for suiting
Best tailor in Bahawalpur,JeanJunction,best tailor in bahawalpur
Best Tailor,JeanJunction,best tailor
Good,JeanJunction,good
My teler,JeanJunction,my teler
One of the best Tailor Shop in BWP,JeanJunction,one of the best tailor shop in bwp
"Quality tailored for two piece, three pieces and dress stitching",JeanJunction,quality tailored for two piece three pieces and dress stitching
Good cloth and tailor stores,JeanJunction,good cloth and tailor stores
Very nice Tailor..,JeanJunction,very nice tailor
Good tailoring shop,JeanJunction,good tailoring shop
One of good tailors,JeanJunction,one of good tailors
Good,JeanJunction,good
fine tailor but a bit expensive,JeanJunction,fine tailor but a bit expensive
Fashion,JeanJunction,fashion
Expensive,JeanJunction,expensive
Khaadi is best to buy women dressed. There stuff is best & their collection is always awesome.,Khaddi,khaadi is best to buy women dressed there stuff is best their collection is always awesome
Ladies Fashion Brand With Everything,Khaddi,ladies fashion brand with everything
Khaadi... Long ago we visited but fabric of khaad is good.,Khaddi,khaadi long ago we visited but fabric of khaad is good
"A typical Khaadi Store but sells only women clothing. Men and home section are missing from this branch, good stuff available but keep an eye on sale days",Khaddi,a typical khaadi store but sells only women clothing men and home section are missing from this branch good stuff available but keep an eye on sale days
It's a very good clothes brand in bahawalpur,Khaddi,its a very good clothes brand in bahawalpur
"Always good experience, but a bit costly",Khaddi,always good experience but a bit costly
Nice place to buy women clothes,Khaddi,nice place to buy women clothes
That's was awesome ,Khaddi,thats was awesome
The best outfits ever,Khaddi,the best outfits ever
It is very top class Clothing brand of the country. It is very big store and popular among women. It has all varieties of clothes for woman. It offers summer collection and wide range of varieties. It is on main location and attractive â€¦,Khaddi,it is very top class clothing brand of the country it is very big store and popular among women it has all varieties of clothes for woman it offers summer collection and wide range of varieties it is on main location and attractive â
Parking is a big issue here,Khaddi,parking is a big issue here
Nice place for shopping,Khaddi,nice place for shopping
Khaadi is always Best. I love Khaadi.,Khaddi,khaadi is always best i love khaadi
Shopping place but expansive,Khaddi,shopping place but expansive
Limited designs and limited colours were present.,Khaddi,limited designs and limited colours were present
Good place,Khaddi,good place
Good,Khaddi,good
Place where you can find stiched and instiched dresses. There is winter clearance sale,Khaddi,place where you can find stiched and instiched dresses there is winter clearance sale
A very good quality cloth shop for women,Khaddi,a very good quality cloth shop for women
I have a good experience .Everything is nice.,Khaddi,i have a good experience everything is nice
Love it,Khaddi,love it
"Khaadi is brand very person can't afford it , very comfortable and costly.",Khaddi,khaadi is brand very person cant afford it very comfortable and costly
A very best place of clothing.,Khaddi,a very best place of clothing
Official store of khadi in bhawalpur. This is best place.,Khaddi,official store of khadi in bhawalpur this is best place
Good,Khaddi,good
A nice place I like to there,Khaddi,a nice place i like to there
"Nice designer store, purchased gifts for family members.",Khaddi,nice designer store purchased gifts for family members
Clothes brand,Khaddi,clothes brand
Best,Khaddi,best
Branded and awsome kpra,Khaddi,branded and awsome kpra
Very nice collection of dresses available there...The staff is very polite and guide properly,Khaddi,very nice collection of dresses available therethe staff is very polite and guide properly
Nice place for shopping stich and unstich clothes with reasonable price,Khaddi,nice place for shopping stich and unstich clothes with reasonable price
mother day sale was good..and a nice range of clothes..,Khaddi,mother day sale was goodand a nice range of clothes
"Awesome,",Khaddi,awesome
Good brand.. but they are repeating their colour scheme and designs which does not give us impressive look,Khaddi,good brand but they are repeating their colour scheme and designs which does not give us impressive look
Best ever clothing for both male nd female special,Khaddi,best ever clothing for both male nd female special
Like to visit this place,Khaddi,like to visit this place
Variety of clothes,Khaddi,variety of clothes
Just a hack scheme to lure stupids into so called sales and looting hard earned money of good innocent and ignorant people,Khaddi,just a hack scheme to lure stupids into so called sales and looting hard earned money of good innocent and ignorant people
Unprofessional staff with no skills how to make sale,Khaddi,unprofessional staff with no skills how to make sale
Unnecessarily expensive and cheap stuff for more price. Not recommended,Khaddi,unnecessarily expensive and cheap stuff for more price not recommended
Famous among teenagers and female clients,Khaddi,famous among teenagers and female clients
A little collection the shop has. It must expand.,Khaddi,a little collection the shop has it must expand
Good quality and most likely cloth and design,Khaddi,good quality and most likely cloth and design
"Good store, outdated and expensive clothes",Khaddi,good store outdated and expensive clothes
Nice range of stitched and unstitched clothes.,Khaddi,nice range of stitched and unstitched clothes
"Good cloths for men, women and kids",Khaddi,good cloths for men women and kids
All of things excelent,Khaddi,all of things excelent
Khaadi is a nice outlet for its branded clothes.,Khaddi,khaadi is a nice outlet for its branded clothes
A nice and contemporary outlet of Khaadi,Khaddi,a nice and contemporary outlet of khaadi
Place worthy visit.,Khaddi,place worthy visit
a good shop for brand lovers,Khaddi,a good shop for brand lovers
Great place for getting clothes,Khaddi,great place for getting clothes
Good brand for shoping,Khaddi,good brand for shoping
A good shop for brand lovers,Khaddi,a good shop for brand lovers
Khadi brand is best for shopping,Khaddi,khadi brand is best for shopping
A good clothing brand,Khaddi,a good clothing brand
Good at sale,Khaddi,good at sale
Good,Khaddi,good
Good,Khaddi,good
Nothing,Khaddi,nothing
Price is hogher,Khaddi,price is hogher
needs more stuff,Khaddi,needs more stuff
Best shop for best dress,Khaddi,best shop for best dress
Nice place for shopping,Khaddi,nice place for shopping
Expensive,Khaddi,expensive
Love,Khaddi,love
Nice collection,Khaddi,nice collection
Good place,Khaddi,good place
Much expensive,Khaddi,much expensive
"Nice staff, good stuff",Khaddi,nice staff good stuff
Taxes are very high,Khaddi,taxes are very high
Awesome,Khaddi,awesome
Good place to shop,Khaddi,good place to shop
Its ok,Khaddi,its ok
Good place,Khaddi,good place
Nice place,Khaddi,nice place
Good for clothing,Khaddi,good for clothing
