comments,brand_name
A brand store. Wider space and car parking. Staff is friendly and humble.,jdot
Best Designed Qurta and Clothes for Men And Women,jdot
Nice place,jdot
Liked,jdot
Nice place for shopping,jdot
Excellent service and stuff,jdot
It's a good place to visit and shop stitch and unstitch clothes,jdot
Their style and clothing is very colorful and ethnic. Staff is very energetic and helpful. They allow you to shop with piece  of mind with no necessary interruption.,jdot
Superb mind-blowing behavior with customers..,jdot
Good for shoping,jdot
Nice place for shopping ladies and gents' suits ..  somewhat costly but very good in quality and designs... Costumer care is also good...,jdot
Good quality and also good verity in clothes but price in some clothes are very high,jdot
Design,jdot
Welcoming staff N beautiful jewellery,jdot
Not visit,jdot
"Good staff, good clothes for both men and women , makeup,  perfumes  and good management .",jdot
Amazing clothes,jdot
I like their clothes.,jdot
"Nice collection for men, women and children. Perfumes are also good",jdot
"Good place for fabric,  stuff is also very good , but cozy",jdot
Nice place,jdot
All things available like garment good stuff especially krta,jdot
Good clothing,jdot
Big outlet of J.,jdot
It was good but needs improvement,jdot
Wonderful experience of shopping at J.. Alhumdulillah,jdot
All the stuff and staff is good but when I talk about the fragrances I love this place.,jdot
Excelent clothing brand for both male n female. Also have Fragrances with beautifull taste. Groom collection is very beautifull n affordable. V.helpful staff.must visit n enjoy.,jdot
"Good brand in many cities of pakistan
Good fabric, essential for men and women...",jdot
Its nice dress shop their experties are in shalwar kameez...kurta,jdot
Good verity nice place for shopping.,jdot
New ladies fashion,jdot
I like junaid jamshed clothes,jdot
Great.,jdot
Nice place like their products,jdot
Only one in city,jdot
Good place for shopping,jdot
Great,jdot
Good place for men and women clothing,jdot
Best cultural representative of Pakistani dresses,jdot
"Staff was helpful, altogether a pleasant experience",jdot
Nice,jdot
Nice dresses.,jdot
V nice collection of perfumes. Specially zarrar. Kurta collection is good. Unstiched suits are also present. Special colors which are difficult to find on other places like grace can be found here.,jdot
A good place to buy good pakistani clothes for whole family,jdot
It was good but lacks variety.,jdot
Very nice place to shop,jdot
Good stuff with nice quality.,jdot
Good place,jdot
Classic trendy clothes and shoes with fragrance,jdot
Junaid jamshed is a great shopping center,jdot
Good Place for indeginous clothes,jdot
The shop was closed but no mention,jdot
Love this shop,jdot
This beautiful j. Outlet,jdot
Average men kurtas yet very high prices. Just cashing the brand name!!,jdot
That was awesome please...,jdot
Nice place to buy dresses,jdot
J. Very costly,jdot
I don't like the Quality,jdot
Prices are high,jdot
Good place with reasonable prices,jdot
Good for emergency clothing,jdot
Sale upto 50 % going on,jdot
Very nice collection...,jdot
Variety is limited,jdot
Good place for buying clothes,jdot
Atmosphere was awesome,jdot
staff behavior good,jdot
Nice.,jdot
Nice collection,jdot
Endless variety under one roof,jdot
Can't find good clothes here now a days,jdot
Perfect design with affordable prices,jdot
Nice designs at J.,jdot
Clothing brand j.,jdot
Good place for Eastern wear,jdot
Outstanding shopping center,jdot
New arrivals,jdot
Awesome,jdot
Prices are very high.,jdot
Stunning,jdot
Extremely slow service,jdot
Wow,jdot
Good,jdot
beat one,jdot
family shoping place,jdot
Nice,jdot
Not experienced staff,jdot
Awesome,jdot
Good clothes,jdot
Loved it,jdot
Good,jdot
Boteeq at Railway Road opposite Panda Hotel,jdot
Good fabric,jdot
Perfumes + Clothing Store,jdot
Brand store.,jdot
Good collection,jdot
Good,jdot
Extra high rates,jdot
Excellent,jdot
Nice place,jdot
Traditional and religious clothing,jdot
Very good,jdot
Its too good,jdot
Good stuff,jdot
Awesome,jdot
Expensive,jdot
Limited quality,jdot
Reminds you of Junaid Jamshed,jdot
Level,jdot
Excellent,jdot
Good,jdot
Excellent,jdot
Nice.,jdot
Non cooperative staff,jdot
Good outlet,jdot
Not bad,jdot
Nice shop,jdot
Nice place,jdot
Love this,jdot
Best tailor in Bahawalpur,JeanJunction
One of the Best place in Town for Suiting.,JeanJunction
Best tailor in Bahawalpur,JeanJunction
Best Tailor,JeanJunction
Good,JeanJunction
My teler,JeanJunction
One of the best Tailor Shop in BWP,JeanJunction
"Quality tailored for two piece, three pieces and dress stitching",JeanJunction
Good cloth and tailor stores,JeanJunction
Very nice Tailor..,JeanJunction
Good tailoring shop,JeanJunction
One of good tailors,JeanJunction
Good,JeanJunction
fine tailor but a bit expensive,JeanJunction
Fashion,JeanJunction
Expensive,JeanJunction
Khaadi is best to buy women dressed. There stuff is best & their collection is always awesome.,Khaddi
Ladies Fashion Brand With Everything,Khaddi
Khaadi... Long ago we visited but fabric of khaad is good.,Khaddi
"A typical Khaadi Store but sells only women clothing. Men and home section are missing from this branch, good stuff available but keep an eye on sale days",Khaddi
It's a very good clothes brand in bahawalpur,Khaddi
"Always good experience, but a bit costly",Khaddi
Nice place to buy women clothes,Khaddi
That's was awesome ,Khaddi
The best outfits ever,Khaddi
It is very top class Clothing brand of the country. It is very big store and popular among women. It has all varieties of clothes for woman. It offers summer collection and wide range of varieties. It is on main location and attractive â€¦,Khaddi
Parking is a big issue here,Khaddi
Nice place for shopping,Khaddi
Khaadi is always Best. I love Khaadi.,Khaddi
Shopping place but expansive,Khaddi
Limited designs and limited colours were present.,Khaddi
Good place,Khaddi
Good,Khaddi
Place where you can find stiched and instiched dresses. There is winter clearance sale,Khaddi
A very good quality cloth shop for women,Khaddi
I have a good experience .Everything is nice.,Khaddi
Love it,Khaddi
"Khaadi is brand very person can't afford it , very comfortable and costly.",Khaddi
A very best place of clothing.,Khaddi
Official store of khadi in bhawalpur. This is best place.,Khaddi
Good,Khaddi
A nice place I like to there,Khaddi
"Nice designer store, purchased gifts for family members.",Khaddi
Clothes brand,Khaddi
Best,Khaddi
Branded and awsome kpra,Khaddi
Very nice collection of dresses available there...The staff is very polite and guide properly,Khaddi
Nice place for shopping stich and unstich clothes with reasonable price,Khaddi
mother day sale was good..and a nice range of clothes..,Khaddi
"Awesome,",Khaddi
Good brand.. but they are repeating their colour scheme and designs which does not give us impressive look,Khaddi
Best ever clothing for both male nd female special,Khaddi
Like to visit this place,Khaddi
Variety of clothes,Khaddi
Just a hack scheme to lure stupids into so called sales and looting hard earned money of good innocent and ignorant people,Khaddi
Unprofessional staff with no skills how to make sale,Khaddi
Unnecessarily expensive and cheap stuff for more price. Not recommended,Khaddi
Famous among teenagers and female clients,Khaddi
A little collection the shop has. It must expand.,Khaddi
Good quality and most likely cloth and design,Khaddi
"Good store, outdated and expensive clothes",Khaddi
Nice range of stitched and unstitched clothes.,Khaddi
"Good cloths for men, women and kids",Khaddi
All of things excelent,Khaddi
Khaadi is a nice outlet for its branded clothes.,Khaddi
A nice and contemporary outlet of Khaadi,Khaddi
Place worthy visit.,Khaddi
a good shop for brand lovers,Khaddi
Great place for getting clothes,Khaddi
Good brand for shoping,Khaddi
A good shop for brand lovers,Khaddi
Khadi brand is best for shopping,Khaddi
A good clothing brand,Khaddi
Good at sale,Khaddi
Good,Khaddi
Good,Khaddi
Nothing,Khaddi
Price is hogher,Khaddi
needs more stuff,Khaddi
Best shop for best dress,Khaddi
Nice place for shopping,Khaddi
Expensive,Khaddi
Love,Khaddi
Nice collection,Khaddi
Good place,Khaddi
Much expensive,Khaddi
"Nice staff, good stuff",Khaddi
Taxes are very high,Khaddi
Awesome,Khaddi
Good place to shop,Khaddi
Its ok,Khaddi
Good place,Khaddi
Nice place,Khaddi
Good for clothing,Khaddi
Economical.,Khaddi
Mostly collection for ladies,Khaddi
Grand,Khaddi
Trendy,Khaddi
Nothing to say,Khaddi
Outstanding,Khaddi
Good shopping,Khaddi
Clothing market' brands' expensive,Khaddi
Nice place...,Khaddi
Good environment,Khaddi
Good,Khaddi
The new khaadi store in town the design of store is awesome ?? the iconic design of the building in Bahawalpur overall ambiance is good for shopping ?? of unique design of fabric.,Khaddi
"One of the best design brand in Ready to wear clothes, staff is very supportive and professional. Best of all, they wear mask and ask customers to wear too! Kids variety is not available,  for that go to DC office branch.",Limelight
Good quality stuff is available here in this store price are also reasonable rather than other clothing stores in bwp,Limelight
Goods are fresh. Good staff,Limelight
average normal variety ..not maximum range they hav..,Limelight
My favourite place to buy ready to wear clothes.,Limelight
Ladies brand store in bahawalpur near to welcome chowk... Good variety & affordable prices.. road access is clean and spacious.,Limelight
Cheap and quality products available here,Limelight
"Nice Decor , Nice Staff, very Organised ,",Limelight
Price quality and service matching,Limelight
It's a Good place,Limelight
Nice ladies clothing collection for ladies,Limelight
Economical and stylish,Limelight
Very good place,Limelight
Good for shopping,Limelight
Because I love this brand... And all the stock of this brand good,Limelight
Nice place for ahoping,Limelight
Very good staff,Limelight
Nice branded shop,Limelight
Very nice collection and even nicer staff and customer service. Very pleased with the people here.,Limelight
Not so good,Limelight
Nice place for shopping,Limelight
Amazing,Limelight
Once again. Great experience. Good atmosphere and positive attitude of salesmen. Thumbs up,Limelight
Good clothes retailer. Polite salesmen.,Limelight
Good prints. Customer service is very good,Limelight
Good best ever dresses latest fashion,Limelight
Great,Limelight
Good suiting,Limelight
A good place for quality cloths with reasonable price.,Limelight
Clothing store,Limelight
Has Something to get 5 stars,Limelight
so so quality metirial available,Limelight
Small shop size,Limelight
Very nice place for stich & unstich wearing must bh visited,Limelight
Good stuff for my best half,Limelight
Good place for ladies stitch cloths.,Limelight
They should increase their stock,Limelight
Nice designes for females and economicsl prices.,Limelight
Good place for designer cloths shopping,Limelight
Nice,Limelight
Nice,Limelight
It is the good brand in bahawalpur for clothes....,Limelight
Good,Limelight
Nice place for women clothes,Limelight
It's good,Limelight
best collection.,Limelight
Nice combinational dresses with jewellery,Limelight
Best clothes in Town,Limelight
Affordable clothing,Limelight
Expensive,Limelight
Great collection,Limelight
Very good ,Limelight
Great,Limelight
Nice stuff good price,Limelight
Good female dresses but not so good,Limelight
It is wonderful brand,Limelight
Good,Limelight
Nice brand,Limelight
Nice staff good center,Limelight
Nice but costly.,Limelight
Clothe brand with fixed prices,Limelight
Trendy women clothing store,Limelight
My favourite place,Limelight
Wel Done,Limelight
Lovely dresses,Limelight
Exclusive store for women clothing.,Limelight
V.good,Limelight
good,Limelight
Excellent,Limelight
Best,Limelight
Low quality,Limelight
It was Fantastic,Limelight
Average,Limelight
Prices r so high,Limelight
Female dresses,Limelight
Lots of variety,Limelight
good one,Limelight
Good shop,Limelight
Very good,Limelight
Ladies Shopping,Limelight
Nice one ,Limelight
Just ok,Limelight
Popular for ready clothes,Limelight
Awesome quality and collection,nishatlinen
Best quality fabric and design,nishatlinen
"Very non cooperative staff .
I go there just on the name of Nishat",nishatlinen
Nice place to take clothes and house stuff bedsheets stallers n much more.,nishatlinen
Good store,nishatlinen
Nice store for shopping,nishatlinen
Good place to empty pocket,nishatlinen
"Like always, great experience with warm welcome, best customer service and even better products. Love to visit this place.",nishatlinen
Good place to visit,nishatlinen
Nice place.,nishatlinen
Good,nishatlinen
One of my favourite  outlet ... just loved it â¤,nishatlinen
Awesome verity of clothes,nishatlinen
Not to much excited about prints and designes but   stiff and fabric nodoubt of good quality,nishatlinen
Nice place for ladies garment shoping,nishatlinen
A premium shopping place for fabrics,nishatlinen
Having always a good experience whenever we visit this place for shoping.,nishatlinen
An awesome well organised place to be in,nishatlinen
Less verity then the outlets in Lahore,nishatlinen
A one place for shopping,nishatlinen
Good,nishatlinen
Nice,nishatlinen
Nice collection,nishatlinen
Good,nishatlinen
Fine store,nishatlinen
Good Service,nishatlinen
Expensive but amazing quality,nishatlinen
Excellent vendor,nishatlinen
Brand clothe store with fixed prices.,nishatlinen
Nice place to visit,nishatlinen
Good,nishatlinen
Expensive but good,nishatlinen
Nishat Linen Bahawalpur is good store,nishatlinen
Great,nishatlinen
Royal,nishatlinen
Nice,nishatlinen
Wonderful,nishatlinen
Wonderful,nishatlinen
Good,nishatlinen
nice,nishatlinen
V good,nishatlinen
Good variety of all types of clothes under fair prices,one
Reasonable pricing.,one
Amazing customer services. Very humble staff,one
Great Experience.. Quality Stuff,one
For shoping,one
Good,one
"Nice brand, on low price, good quality",one
Good place to shop,one
Shopping Brand,one
Rates are high as compared to quality,one
Very good quality western clothing in affordable prices,one
Shopping fare,one
Good stuff price high,one
"I absolutely love them.  I was still genuinely surprised at the quality of the material as soon as I opened the package. The material has some weight to it - doesn't feel cheap, thin or flimsy at all, and is soft to the touch. Be warned â€¦",Outfitters
"I love it
Always shop here",Outfitters
I buy baby clothes ..good collection,Outfitters
Best place for shopping here you can buy each and every thing for yourself.,Outfitters
Good products and nice staff,Outfitters
Service was perfect. Quality and price were affordable and the summer sale was above all.,Outfitters
Always loved their stuff.,Outfitters
Loved their new winter collection,Outfitters
Its a good branch dealing of the staff is OK and and stock is also reasonable maintained then the other branches,Outfitters
"Very Organised, Clean , Supportive Staff ,",Outfitters
"Outfitters store has not a full range of items. Just has average collection. Trendy stuff for gents , ladies and kids. New styles are also displayed by the staff but these designs and styles are not so good to be purchased. Footware â€¦",Outfitters
Better outlet.,Outfitters
Outfitters is great but expensive. They should have more options too!!,Outfitters
Nice bought something today will give it a try ...... Then will add review again ðŸ˜‹ðŸ˜‡,Outfitters
I love its shoes...,Outfitters
Always my favourite,Outfitters
Had Nice stock,Outfitters
Zero star . They are disgraceful selling bad and olddated stuff. Torn clothes in most of the branches,Outfitters
Good brand,Outfitters
Good quality of products. Good service and shop,Outfitters
"Shopping Centre
Not a Vast variety here
Casual dresses are more
Watches are available at sensible prize",Outfitters
Best baby collections,Outfitters
Its ok,Outfitters
Amazing kid's range.,Outfitters
Nice brands and nice dezine...outclass,Outfitters
Best one,Outfitters
It is one of the best clothig brand of a ages,Outfitters
Very peaceful and nice place,Outfitters
I bought a baby shoe and the size was smaller than my kid size. I asked that plz confirm it from your other outlet which is placed in Haqi center and after confirmation they said large size of that article is not available at that outlet while i visit the Haqi center just after half an hour the large size of same article was available there. They are deceiving the customers,Outfitters
Not much variety but Moderate prices,Outfitters
Good stuff as compared to other brands but sizes issue always specially shoes.,Outfitters
Good place for all kind of clothes,Outfitters
Reasonable clothing with prices in your reach,Outfitters
Expensive Garments,Outfitters
Nice,Outfitters
Awesome place for shopping,Outfitters
Nice place.,Outfitters
Upto 50% sale currently . Nice collection casaual and formal as well . Must visit,Outfitters
Very good.  Wow.,Outfitters
They don't have updated stock there. And the sales boy was rude and not helpful at all.,Outfitters
Good quality of products,Outfitters
Good shop,Outfitters
Stuff is not good but stitching is mond blowing. Most of shirts' color fade away in sunlight beware.,Outfitters
Nice brand for bwp,Outfitters
Good at sale,Outfitters
Various variety for casual lovers,Outfitters
Complete range same like lhr and Karachi stores ....,Outfitters
Bit expensive as per quality,Outfitters
Awsome,Outfitters
Nice branding hear,Outfitters
Best quality but too expensive,Outfitters
Clothing store,Outfitters
so so,Outfitters
Not too much variety,Outfitters
stock of variety not available,Outfitters
Try room mostly closed,Outfitters
Nice Brand,Outfitters
Variety of wearables,Outfitters
Good collection,Outfitters
Nice brand,Outfitters
Shortage of variety..,Outfitters
Awesomely,Outfitters
waste,Outfitters
Excellent,Outfitters
Loved it,Outfitters
Good collection,Outfitters
"it,s a good clothing  brand.",Outfitters
"Good clothes, excellent environment. Staff behaviour is very good. Location of the outlet is best with fair parking space. Since day 1 they have been treating their customers well.",Sapphire
this shop is situated in dubai chowk bahawal pur infront of go petrol pump opposite side,Sapphire
It is sphaire clothing brand flagship shop in Bahawalpur,Sapphire
It's my favorite clothing brand so far but clothes go out of stock very fast and restock bhi nai hoty,Sapphire
Compact and at prime location of The City.,Sapphire
Good place for family shopping ,Sapphire
Great place! They recently had sale 50 percent of!! Enjoyable for women who are interested in clothes but it is quite expensive!,Sapphire
They have very nice products . Provide best quality products.,Sapphire
"Good place,
I visited this shop Sapphire Cloth and i got a good service here. The quality of Things of this shop is very good. The quailty of Cloths of this shop is great.
Nice place
I suggest you to go there and enjoy.
Love this place.
Thank you.
Have a nice day Friends",Sapphire
Too expensive for me,Sapphire
Good customer service,Sapphire
Winter collection and female perfumes are good,Sapphire
Neat clean,Sapphire
I personally don't recommend this place .,Sapphire
My experience was very good. I always appreciate its vibrant colours and unique designs,Sapphire
The best place for ladies or kids shopping,Sapphire
Best place to eat,Sapphire
It's ok,Sapphire
Best place where u find clothes and food also the lodging service..,Sapphire
Best ground for sports.,Sapphire
Little expensive but high quality,Sapphire
Good,Sapphire
Rushed point,Sapphire
Awesome place for shopping,Sapphire
Never go there. But ok,Sapphire
Parking is a big issue here,Sapphire
Always good stuff,Sapphire
"A good shopping mall..
Lov to did shopping.",Sapphire
Good outlet in Bwp,Sapphire
Nice for shopping but rates are higher than market,Sapphire
the one and only brand u can trust,Sapphire
Its good place but spend mony too much,Sapphire
Batter clothes,Sapphire
it is branded clothes shoping maal and hotel,Sapphire
Nice,Sapphire
Good,Sapphire
Good,Sapphire
It is on main road and the staff was very helpful,Sapphire
Nice place,Sapphire
"I actually love this place. Their prints and stuff is outstanding. They are different from others like, NL, And warda, they seems tooo typical specially in Bahawalpur. But the Sapphire is better than the other too. most important thing is they offer a whole cool stuff on sales too.. Jewelry section and goggles are my weakness. ðŸ’â¤ï¸",Sapphire
"Very cooperative staff.
Need to work on return/change policy",Sapphire
"The Poor quality of services, in sale days they throw clothes like before dogs, inhuman attitude also owner enjoys snatching between women as promote such vulgar services. They also record videos of customers in cctv and enjoy.",Sapphire
yes   u must visit sapphire when they put sale,Sapphire
Very expensive clothes. Not a good place for middle class persons.,Sapphire
"Well managed
New arrivals
Fresh designed dresses",Sapphire
Really good,Sapphire
Nice environment. Great styles and choices. Unique,Sapphire
Very good,Sapphire
"Flagship Sapphire Clothing outlet.
Easily accessible, ambiant and cozy, this place is by far posh than other stores in their line up",Sapphire
"Awesome summer collection, but they need restocking of some out of stock good stuff",Sapphire
Amazing management,Sapphire
Very helpful staff especially Hammad. Highly recommend,Sapphire
Pizza of better quality offers new deals relatively better place,Sapphire
A great brand under a great roof,Sapphire
Descent market,Sapphire
A good shopping place but comparatively lesser variety,Sapphire
Great shopping mall.,Sapphire
"You can buy stitched clothes mans,womens and kids",Sapphire
Well behaved staff...,Sapphire
sapphire is very good shop fpr cloths,Sapphire
The clothes are very expencieve here,Sapphire
"Sapphire colth avenue mall.
is the best shopping mall.",Sapphire
Nice bright location with easy access and free parking,Sapphire
With avarage range awsome cloths for gantes and ðŸšº,Sapphire
Pathetic discipline. ..worse management...they should nor offer sale of they cannot manage the crowd. . Plus the stock was put with in 5 min.. no backup plan... worse experience. ...I hate it..,Sapphire
Best point in bahawalpur,Sapphire
"Clothes quality awesome,",Sapphire
Store was close at 4p.m with out any  information. We r from multan. We have visited outlet at 4p.m but there was no entry for customers. Staff behaviour was very rude to us.so we advised to everyone not to ever visit  Bahawlpur outlet.whynot  u open your outlet in Multan.,Sapphire
Good,Sapphire
Big outlet with good parking space,Sapphire
Nice collection but some times old one,Sapphire
Nice,Sapphire
nice,Sapphire
Good collection of ladies clothes,Sapphire
Favorite brand for clothing ,Sapphire
Your are the boss in town.,Sapphire
Good,Sapphire
Must visit,Sapphire
Nice,Sapphire
Best ladies clothing in town,Sapphire
I amloving it.,Sapphire
You can trust,Sapphire
Best cloths,Sapphire
Good one,Sapphire
Beautiful shopping mall,Sapphire
Nice place,Sapphire
Fashion,Sapphire
Good place,Sapphire
Shopping & Eating,Sapphire
Best cloth store in BahawalPur,Sapphire
Too costly,Sapphire
Nice,Sapphire
Good place for shopping,Sapphire
Nice place,Sapphire
For branded clothes shopping,Sapphire
Good place,Sapphire
Best stuff,Sapphire
Expensive but good clothong,Sapphire
Beautiful shopping experience,Sapphire
Tooo good,Sapphire
GOOD,Sapphire
Great mall,Sapphire
Nyc,Sapphire
Nice,Sapphire
Big stores and poor Parking,Sapphire
good,Sapphire
Rude manager,Sapphire
Good,Sapphire
Lovely,Sapphire
Great,Sapphire
Experience,Sapphire
wow,Sapphire
Branded,Sapphire
ladies shopping,Sapphire
Brand,Sapphire
Clothes House,Sapphire
Good,Sapphire
Like,Sapphire
great,Sapphire
Good,Sapphire
Too costly,Sapphire
Very very costly,Sapphire
Extraordinary shopping,Sapphire
Good place,Sapphire
Average place,Sapphire
Just ok,Sapphire
Nice,Sapphire
Best clothing,Sapphire
A costly cloths shop,Sapphire
Good clothing outlet for females.,Sapphire
Good place,Sapphire
Good place to shop,Sapphire
Compatible price,Sapphire
Ok variety but expensive,Sapphire
Satisfied,Sapphire
Nice,Sapphire
Good clothes,Sapphire
Good shop,Sapphire
Average variety available here.,Sapphire
Awesome,Sapphire
Very poor services,Sapphire
Superb variety and elegant designs.,Sapphire
nice place,Sapphire
Good place for buy clothes,Sapphire
Very good environment,Sapphire
Nice store,Sapphire
Best,Sapphire
Good,Sapphire
Nice place,Sapphire
The manager of the outlet is a useless person. He is busy in petty matters 'look busy doing nothing' telling everyone that company is not providing staff. There are two counters and two individuals are dealing having long ques during sell. â€¦,Sapphire
costly but having good stuff.,Sapphire
Loved it,Sapphire
Good stuff with nice quality of stiching but need improvement of caller color and quality,Uniworth
Nice collection of Men clothing,Uniworth
"The worst place to buy garments. I bought two trousers from Bahawalpur, tried one since both were of same size. However, later on found that the one I didn't try had smaller waist. I took both trousers back to the store, the salesman â€¦",Uniworth
"Good place,
I visited this shop and i got a good service here. The quality of Things of this shop is very good. The quailty of Dresses of this shop is great.
Nice place
I suggest you to go there and enjoy.
Love this place.
Thank you.
Have a nice day Friends",Uniworth
The staff was very cooperative and polite. There is a wide range of clothing available here. They also stitch suites on order ( which takes around 25 days). Alteration of clothes are available as well. ðŸ™‚,Uniworth
Uniworth Black is recommended. Super fine quality and stiching,Uniworth
"A franchise of most famous brand shirt and tie. A quality dress shirt, pants and soots available",Uniworth
my experience for formal dressing was great with them but this brand disappointed with their service on defective fabric claim. I went through a worst customer service experience with them. my trouser faded just like hell within 2 home â€¦,Uniworth
Fine Men's wear,Uniworth
I love it,Uniworth
I love this place really,Uniworth
Alteration service was a little slow,Uniworth
No need.,Uniworth
There is a reasonable shirts and every thing,Uniworth
"Awsome services and quality, but expensive.",Uniworth
Best brand,Uniworth
Best place for formal suiting.,Uniworth
ðŸ‘,Uniworth
Great shopping place,Uniworth
Normal price range outlet,Uniworth
My favorite brand,Uniworth
Good brand but no New collection,Uniworth
Loved it,Uniworth
Good place,Uniworth
They are famous for their formal wear men collection.,Uniworth
A name for quality.,Uniworth
Nice brand,Uniworth
Good,Uniworth
Nice place for dress.,Uniworth
Good place for office dresses and court pant,Uniworth
Quality,Uniworth
Brads shop,Uniworth
A Verity of  brands,Uniworth
Classy,Uniworth
Quality stuff,Uniworth
Nice dresses,Uniworth
Good clothing,Uniworth
Good,Uniworth
wow,Uniworth
Good,Uniworth
Awesome,Uniworth
A good shop for shirt and ties,Uniworth
This is A garments store avail jeans shirts pants.,Uniworth
