comments,brand_name,cleaned_comment,sentiment,date
Dinrs is absolutely world class fabric is sort and graceful,Diners,dinrs is absolutely world class fabric is sort and graceful,Positive,18/01/2024
Much expensive poor quality so disappointed,Diners,much expensive poor quality so disappointed,Negative,01/01/2024
Nice but costly brand shop,Diners,nice but costly brand shop,Positive,22/03/2024
Good garments collection,Diners,good garments collection,Positive,06/03/2024
Good clothes stuff available here,Diners,good clothes stuff available here,Positive,27/02/2024
Good quality fabric at reasonable price,Diners,good quality fabric at reasonable price,Positive,17/01/2024
Excellent quality with good number of variety...,Diners,excellent quality with good number of variety,Positive,17/03/2024
Best place for garments shopping,Diners,best place for garments shopping,Positive,13/02/2024
Good place fo garments,Diners,good place fo garments,Positive,21/03/2024
Nice experience win diners clothing,Diners,nice experience win diners clothing,Positive,26/01/2024
Not enough stuff but service is best.,Diners,not enough stuff but service is best,Positive,02/02/2024
They have all the variety for all ages,Diners,they have all the variety for all ages,Neutral,03/01/2024
Quality of diner's are good,Diners,quality of diners are good,Positive,18/02/2024
Verry high Price here,Diners,verry high price here,Positive,11/02/2024
Nice,Diners,nice,Positive,19/03/2024
I didn't like,Diners,i didnt like,Neutral,19/02/2024
Good suits but pricey.,Diners,good suits but pricey,Positive,07/01/2024
"Good shop BUT be careful when u go to change or return ,their they behaviour is very irritating.",Diners,good shop but be careful when u go to change or return their they behaviour is very irritating,Positive,28/03/2024
Best place for Shopping in BWP,Diners,best place for shopping in bwp,Positive,04/02/2024
Good shop to purchase,Diners,good shop to purchase,Positive,25/02/2024
Good,Diners,good,Positive,30/03/2024
New articles  not available,Diners,new articles not available,Negative,07/03/2024
"Costly as well as Counter guy is very rude. if you ask for some discount, he will be like you have asked for his kidney lol :p",Diners,costly as well as counter guy is very rude if you ask for some discount he will be like you have asked for his kidney lol p,Positive,07/02/2024
Costly but Nice brand,Diners,costly but nice brand,Positive,23/01/2024
Average designs,Diners,average designs,Negative,17/02/2024
Kids brand,Diners,kids brand,Neutral,07/03/2024
Just amazing great,Diners,just amazing great,Positive,26/02/2024
Good quality products.,Diners,good quality products,Positive,06/03/2024
A good place for clothing.,Diners,a good place for clothing,Positive,13/02/2024
Nice place for good choice,Diners,nice place for good choice,Positive,07/03/2024
New collection,Diners,new collection,Positive,28/02/2024
I love it,Diners,i love it,Positive,26/01/2024
Nice place but things are little bit expensive,Diners,nice place but things are little bit expensive,Negative,21/03/2024
Good but expencvie,Diners,good but expencvie,Positive,29/01/2024
Good stuff.,Diners,good stuff,Positive,13/01/2024
Excellent blazers,Diners,excellent blazers,Positive,07/01/2024
Good place,Diners,good place,Positive,01/03/2024
Good outlet,Diners,good outlet,Positive,17/02/2024
Suiting is superb,Diners,suiting is superb,Positive,22/01/2024
Nice,Diners,nice,Positive,18/02/2024
It's ok,Diners,its ok,Positive,20/03/2024
Good for shopping,Diners,good for shopping,Positive,07/02/2024
Great shopping center,Diners,great shopping center,Positive,15/01/2024
excellent stuff,Diners,excellent stuff,Positive,12/02/2024
Top brand,Diners,top brand,Positive,17/01/2024
Good place,Diners,good place,Positive,04/03/2024
A super store,Diners,a super store,Positive,06/02/2024
Expensive clothing,Diners,expensive clothing,Negative,06/02/2024
Expensive but good.,Diners,expensive but good,Positive,07/03/2024
Great,Diners,great,Positive,15/01/2024
Nice clothing,Diners,nice clothing,Positive,08/03/2024
Not so Good,Diners,not so good,Positive,03/01/2024
A very costly place for shoping,Diners,a very costly place for shoping,Positive,06/02/2024
Limited variety,Diners,limited variety,Negative,02/02/2024
good but expensive store,Diners,good but expensive store,Positive,04/03/2024
good expensive place,Diners,good expensive place,Positive,04/02/2024
Cooporative Employees,Diners,cooporative employees,Neutral,01/02/2024
Good,Diners,good,Positive,15/01/2024
Recommend,Diners,recommend,Neutral,15/01/2024
Good people,Diners,good people,Positive,06/01/2024
Fine,Diners,fine,Positive,06/02/2024
Nice store,Diners,nice store,Positive,02/02/2024
Nice collection,Diners,nice collection,Positive,28/01/2024
EXPENSIVE !!!!!!,Diners,expensive,Negative,27/03/2024
FLOP,Diners,flop,Neutral,23/02/2024
Brand!,Diners,brand,Neutral,29/02/2024
Nice place for shopping,Diners,nice place for shopping,Positive,20/03/2024
Good one,Diners,good one,Positive,14/02/2024
Nice,Diners,nice,Positive,31/03/2024
Cloth market,Diners,cloth market,Neutral,14/01/2024
Here you can buy standard garments.,Diners,here you can buy standard garments,Neutral,27/01/2024
High prices,Diners,high prices,Positive,02/02/2024
Just a brand name,Diners,just a brand name,Neutral,12/01/2024
Decent collection,Diners,decent collection,Positive,11/01/2024
Awesome,Diners,awesome,Positive,13/03/2024
Very good,Diners,very good,Positive,25/02/2024
Nice brand,Diners,nice brand,Positive,01/01/2024
Good store,Diners,good store,Positive,31/01/2024
Great experience,Diners,great experience,Positive,15/02/2024
Nice,Diners,nice,Positive,28/01/2024
Nice,Diners,nice,Positive,01/01/2024
Quality is just average,Diners,quality is just average,Negative,06/03/2024
Good place,Diners,good place,Positive,01/03/2024
Brand store,Diners,brand store,Neutral,13/03/2024
Best services,Diners,best services,Positive,06/01/2024
Nice mall...,Diners,nice mall,Positive,09/03/2024
Costly,Diners,costly,Neutral,08/01/2024
Average,Diners,average,Negative,11/02/2024
Expensive,Diners,expensive,Negative,16/03/2024
Good,Diners,good,Positive,03/02/2024
Expensive,Diners,expensive,Negative,29/01/2024
Luxury,Diners,luxury,Neutral,26/03/2024
It's expensive,Diners,its expensive,Negative,15/03/2024
Good,Diners,good,Positive,12/01/2024
Value chain,Diners,value chain,Neutral,03/03/2024
Full of variety.,Diners,full of variety,Positive,21/01/2024
Great size,Diners,great size,Positive,28/03/2024
Nice shop,Diners,nice shop,Positive,27/03/2024
Not impressive,Diners,not impressive,Negative,04/03/2024
Nice store,Diners,nice store,Positive,15/01/2024
Branded garments.,Diners,branded garments,Neutral,15/03/2024
Superb,Diners,superb,Positive,03/02/2024
Expensive must buy in sale decent suiting,Diners,expensive must buy in sale decent suiting,Negative,12/01/2024
Good shop,Diners,good shop,Positive,27/02/2024
Average stuff on high price,Diners,average stuff on high price,Positive,12/02/2024
Good Place,Diners,good place,Positive,08/03/2024
Brand but it requires money,Diners,brand but it requires money,Neutral,23/03/2024
V nice,Diners,v nice,Positive,13/03/2024
Wow,Diners,wow,Positive,13/03/2024
Nice place for shopping. Reasonable rate with good variety,Edenrobe,nice place for shopping reasonable rate with good variety,Positive,12/01/2024
Quality vise best place,Edenrobe,quality vise best place,Positive,03/01/2024
"They have amazing clothes with AMAZING quality, especially women clothing. The prints and the material is very good. But the clothes are on the expensive side, not very budget friendly.",Edenrobe,they have amazing clothes with amazing quality especially women clothing the prints and the material is very good but the clothes are on the expensive side not very budget friendly,Positive,10/02/2024
"A good brand for clothing in Bahawalpur. I really recommend you to buy winter clothes from here because winter collection of ACE is wonderful and the clothes are well refined, stitched. Again, I recommend to visit this place for buying winter clothes.
Appreciated!",Edenrobe,a good brand for clothing in bahawalpur i really recommend you to buy winter clothes from here because winter collection of ace is wonderful and the clothes are well refined stitched again i recommend to visit this place for buying winter clothes appreciated,Positive,17/03/2024
Good,Edenrobe,good,Positive,06/01/2024
Shop was good but they have very low articles.,Edenrobe,shop was good but they have very low articles,Positive,08/03/2024
Awesome place for shopping. Good quality fabric available.,Edenrobe,awesome place for shopping good quality fabric available,Positive,04/02/2024
Few of my items are only brought from this very place.... No matter where I live ... I manage to purchase from here,Edenrobe,few of my items are only brought from this very place no matter where i live i manage to purchase from here,Positive,22/02/2024
Beautidul dresses. Wesome stuff. But high in prices,Edenrobe,beautidul dresses wesome stuff but high in prices,Positive,22/03/2024
Well maintaimed place.. you can get good wearing options there..,Edenrobe,well maintaimed place you can get good wearing options there,Positive,02/02/2024
"Expensive, visited with their good marketing but rarely bought anything.",Edenrobe,expensive visited with their good marketing but rarely bought anything,Positive,01/03/2024
Good price and good stuff of garments and clothes,Edenrobe,good price and good stuff of garments and clothes,Positive,12/03/2024
Great store to shop daily base shopping,Edenrobe,great store to shop daily base shopping,Neutral,16/03/2024
Nice place for shopping,Edenrobe,nice place for shopping,Positive,19/02/2024
The shopping mall is located in the heart of city and garments are of excellent quality.,Edenrobe,the shopping mall is located in the heart of city and garments are of excellent quality,Positive,14/01/2024
Good place for family season cloth shoping,Edenrobe,good place for family season cloth shoping,Positive,09/03/2024
Good place for shoping,Edenrobe,good place for shoping,Positive,20/01/2024
"Eden robe is one of the most popular and unique brand all over pakistan. There products are quite costly but the product is too good to wear, i love this brand for my one personal use. My experience with this product is very good, i feel really happy because the products have all the qualities among the other brands.",Edenrobe,eden robe is one of the most popular and unique brand all over pakistan there products are quite costly but the product is too good to wear i love this brand for my one personal use my experience with this product is very good i feel really happy because the products have all the qualities among the other brands,Positive,22/03/2024
Good place for shopping,Edenrobe,good place for shopping,Positive,01/02/2024
Good place  expensive as well. If you are going for kids shoes then itsnotthe right place.,Edenrobe,good place expensive as well if you are going for kids shoes then itsnotthe right place,Positive,09/03/2024
Goos shoping place in bahawalpur,Edenrobe,goos shoping place in bahawalpur,Neutral,18/02/2024
Reasonable price and good staff,Edenrobe,reasonable price and good staff,Positive,21/02/2024
Everything is right and fine.,Edenrobe,everything is right and fine,Positive,06/02/2024
Quality of the product and first shopping place in Bahawalpur,Edenrobe,quality of the product and first shopping place in bahawalpur,Positive,21/01/2024
I liked this brand,Edenrobe,i liked this brand,Positive,23/03/2024
Good place for shopping,Edenrobe,good place for shopping,Positive,21/02/2024
Best place to buy shirts and Kurtas,Edenrobe,best place to buy shirts and kurtas,Positive,13/01/2024
Good place for shopping,Edenrobe,good place for shopping,Positive,29/02/2024
I like it and purchase 3 casual shirts,Edenrobe,i like it and purchase casual shirts,Negative,31/01/2024
One of the best clothing store in bahawalpur,Edenrobe,one of the best clothing store in bahawalpur,Positive,18/01/2024
Good shipping point.,Edenrobe,good shipping point,Positive,04/01/2024
Staff behaviour need to improve,Edenrobe,staff behaviour need to improve,Neutral,06/01/2024
Nice collection store,Edenrobe,nice collection store,Positive,27/03/2024
Edenrobe was pretty good,Edenrobe,edenrobe was pretty good,Positive,14/02/2024
Shopped some necessary items,Edenrobe,shopped some necessary items,Neutral,12/02/2024
Best place for garments shopping,Edenrobe,best place for garments shopping,Positive,10/01/2024
Excellent Service and find best product in good price,Edenrobe,excellent service and find best product in good price,Positive,02/03/2024
"You can find good beautiful stylish clothes here for kids and women, not good for men. Prices are too too much high. Ok on 50%.",Edenrobe,you can find good beautiful stylish clothes here for kids and women not good for men prices are too too much high ok on,Positive,20/01/2024
Some one costly nice place,Edenrobe,some one costly nice place,Positive,18/03/2024
Very Beautiful Shopping Center,Edenrobe,very beautiful shopping center,Positive,07/01/2024
It's ok,Edenrobe,its ok,Positive,18/02/2024
Good Choice,Edenrobe,good choice,Positive,01/02/2024
"Had a great experience. Highly cooperative staff.
Excellent quality.",Edenrobe,had a great experience highly cooperative staff excellent quality,Positive,20/01/2024
Good place to buy pants shirts & shalwar qameez,Edenrobe,good place to buy pants shirts shalwar qameez,Positive,21/01/2024
Nice place for shopping,Edenrobe,nice place for shopping,Positive,17/03/2024
Nice place,Edenrobe,nice place,Positive,05/02/2024
Very good,Edenrobe,very good,Positive,24/02/2024
Good,Edenrobe,good,Positive,31/03/2024
Qaisar sb edenrob prince,Edenrobe,qaisar sb edenrob prince,Neutral,18/03/2024
Outstanding quality,Edenrobe,outstanding quality,Positive,05/03/2024
Expensive,Edenrobe,expensive,Negative,07/02/2024
Shoping place garments etc,Edenrobe,shoping place garments etc,Neutral,19/01/2024
Male kurtas variety is eexcellent,Edenrobe,male kurtas variety is eexcellent,Neutral,08/02/2024
Nice shop with different clothes categories.,Edenrobe,nice shop with different clothes categories,Positive,08/02/2024
I m loving it. Good place for shopping,Edenrobe,i m loving it good place for shopping,Positive,28/01/2024
"It is present inside ACE shopping mall ,Eden robe is one of the pioneers of branded clothing in bahawalpur and now it has attained a fame as now they have complete range of cultural and western styled clothes ,it provides best fabric with large range of variety and is popular among the residents of town",Edenrobe,it is present inside ace shopping mall eden robe is one of the pioneers of branded clothing in bahawalpur and now it has attained a fame as now they have complete range of cultural and western styled clothes it provides best fabric with large range of variety and is popular among the residents of town,Positive,06/01/2024
Nice shopping mall for clothes and everything,Edenrobe,nice shopping mall for clothes and everything,Positive,23/02/2024
"Good quality jersies, upper and everything you want for men women and kids",Edenrobe,good quality jersies upper and everything you want for men women and kids,Positive,25/01/2024
Good and quality stuff at medium price range....,Edenrobe,good and quality stuff at medium price range,Positive,28/01/2024
Very nice mall in bahawalpur,Edenrobe,very nice mall in bahawalpur,Positive,25/03/2024
"Everything in Edenrobe was superb.
Quality is also very good",Edenrobe,everything in edenrobe was superb quality is also very good,Positive,25/03/2024
Funtastic place to do shopping having all items related child and women and man shopping,Edenrobe,funtastic place to do shopping having all items related child and women and man shopping,Neutral,28/03/2024
Outstanding quality,Edenrobe,outstanding quality,Positive,16/03/2024
Expensive,Edenrobe,expensive,Negative,08/01/2024
Male kurtas variety is eexcellent,Edenrobe,male kurtas variety is eexcellent,Neutral,27/01/2024
Nice shop with different clothes categories.,Edenrobe,nice shop with different clothes categories,Positive,23/03/2024
I m loving it. Good place for shopping,Edenrobe,i m loving it good place for shopping,Positive,23/03/2024
Nice shopping mall for clothes and everything,Edenrobe,nice shopping mall for clothes and everything,Positive,04/02/2024
"Good quality jersies, upper and everything you want for men women and kids",Edenrobe,good quality jersies upper and everything you want for men women and kids,Positive,25/02/2024
Good and quality stuff at medium price range....,Edenrobe,good and quality stuff at medium price range,Positive,22/03/2024
Very nice mall in bahawalpur,Edenrobe,very nice mall in bahawalpur,Positive,06/01/2024
"Everything in Edenrobe was superb.
Quality is also very good",Edenrobe,everything in edenrobe was superb quality is also very good,Positive,11/03/2024
Funtastic place to do shopping having all items related child and women and man shopping,Edenrobe,funtastic place to do shopping having all items related child and women and man shopping,Neutral,31/03/2024
One of the best shopping area of city,Edenrobe,one of the best shopping area of city,Positive,21/03/2024
Such a good shoping mall with reasonable price. 5 star rating,Edenrobe,such a good shoping mall with reasonable price star rating,Positive,01/01/2024
Nice place,Edenrobe,nice place,Positive,06/03/2024
Best place for shopping ,Edenrobe,best place for shopping,Positive,02/01/2024
"I like their  shalwar suit, good clothing stuff with nice stitching",Edenrobe,i like their shalwar suit good clothing stuff with nice stitching,Positive,03/03/2024
"Excellent quality of stuff,designing n specialy tailoring",Edenrobe,excellent quality of stuffdesigning n specialy tailoring,Positive,04/01/2024
local products in a plaza,Edenrobe,local products in a plaza,Neutral,12/02/2024
Good for clothes and for women there is a whole bunch of makeup selection area,Edenrobe,good for clothes and for women there is a whole bunch of makeup selection area,Positive,18/03/2024
Lovely place for shoping,Edenrobe,lovely place for shoping,Positive,16/01/2024
They always have Wrost collection every season so dont go there.,Edenrobe,they always have wrost collection every season so dont go there,Neutral,01/02/2024
Good,Edenrobe,good,Positive,21/02/2024
Good for apparels and stitched suiting variety both for ethnic n suiting lovers,Edenrobe,good for apparels and stitched suiting variety both for ethnic n suiting lovers,Positive,03/01/2024
good quality products,Edenrobe,good quality products,Positive,03/03/2024
Good choice for shoping,Edenrobe,good choice for shoping,Positive,18/02/2024
Nice place to shop brands,Edenrobe,nice place to shop brands,Positive,28/02/2024
Decent shopping complex.,Edenrobe,decent shopping complex,Negative,30/01/2024
Awesome staff and clothes. Class of legacy,Edenrobe,awesome staff and clothes class of legacy,Positive,27/01/2024
Great place for shopping fashion garments for all seasons,Edenrobe,great place for shopping fashion garments for all seasons,Positive,03/01/2024
Best place for wedding shopping,Edenrobe,best place for wedding shopping,Positive,15/02/2024
Avg,Edenrobe,avg,Neutral,30/01/2024
Good varieties of all types of clothes.,Edenrobe,good varieties of all types of clothes,Positive,11/02/2024
Best Shopping Mall in bahawalpur,Edenrobe,best shopping mall in bahawalpur,Positive,09/02/2024
It was a wonderful place for shopping,Edenrobe,it was a wonderful place for shopping,Positive,20/02/2024
Beautiful place,Edenrobe,beautiful place,Positive,04/01/2024
Good stuff but expensive,Edenrobe,good stuff but expensive,Positive,10/02/2024
Good departmental store,Edenrobe,good departmental store,Positive,30/03/2024
Good place for shopping,Edenrobe,good place for shopping,Positive,22/02/2024
So much pricy. Should visit bissino or J.,Edenrobe,so much pricy should visit bissino or j,Positive,01/02/2024
Nice place for shopping,Edenrobe,nice place for shopping,Positive,30/01/2024
GOOD PLACE,Edenrobe,good place,Positive,29/02/2024
Love to visit again,Edenrobe,love to visit again,Positive,11/01/2024
I have always loved shopping here,Edenrobe,i have always loved shopping here,Positive,09/01/2024
Best pace for shopping,Edenrobe,best pace for shopping,Positive,29/03/2024
Price high but quality is good,Edenrobe,price high but quality is good,Positive,08/02/2024
Good shopping mall,Edenrobe,good shopping mall,Positive,24/01/2024
Good place for shopping,Edenrobe,good place for shopping,Positive,03/01/2024
"Fabric is absolutelyl soft and  graceful
Thank",Edenrobe,fabric is absolutelyl soft and graceful thank,Positive,31/01/2024
Clothing western and traditional,Edenrobe,clothing western and traditional,Neutral,26/02/2024
Good to shop garments for whole family,Edenrobe,good to shop garments for whole family,Positive,16/02/2024
Good varieties of Ace are present here.,Edenrobe,good varieties of ace are present here,Positive,01/01/2024
Nice but expensive,Edenrobe,nice but expensive,Positive,02/01/2024
"It was not outstanding, but good",Edenrobe,it was not outstanding but good,Positive,14/02/2024
Nice,Edenrobe,nice,Positive,24/02/2024
Costly,Edenrobe,costly,Neutral,28/01/2024
Bad experience,Edenrobe,bad experience,Negative,17/02/2024
Cool place,Edenrobe,cool place,Positive,03/01/2024
Amazing mall,Edenrobe,amazing mall,Positive,10/03/2024
Nice cloth quality,Edenrobe,nice cloth quality,Positive,03/02/2024
Good,Edenrobe,good,Positive,19/01/2024
Awesome,Edenrobe,awesome,Positive,15/03/2024
Bit expensive though,Edenrobe,bit expensive though,Negative,22/03/2024
Good mall,Edenrobe,good mall,Positive,16/02/2024
It's okay,Edenrobe,its okay,Positive,12/01/2024
Good quality product,Edenrobe,good quality product,Positive,31/01/2024
Nice,Edenrobe,nice,Positive,17/02/2024
Nice stuff and variety,Edenrobe,nice stuff and variety,Positive,28/02/2024
Nice brand,Edenrobe,nice brand,Positive,14/02/2024
Best for price and quality,Edenrobe,best for price and quality,Positive,31/01/2024
Good brand quality stuff,Edenrobe,good brand quality stuff,Positive,08/03/2024
Good,Edenrobe,good,Positive,30/01/2024
Good but expensive,Edenrobe,good but expensive,Positive,28/03/2024
Located inside ACE Bahawalpur a little bit expensive,Edenrobe,located inside ace bahawalpur a little bit expensive,Negative,04/01/2024
It's mostly off 30 to 50 %,Edenrobe,its mostly off to,Positive,03/02/2024
Best for shopping,Edenrobe,best for shopping,Positive,17/02/2024
It was ok.,Edenrobe,it was ok,Positive,08/02/2024
Best clothes.,Edenrobe,best clothes,Positive,14/01/2024
Nice place,Edenrobe,nice place,Positive,27/01/2024
Good  for  shopping,Edenrobe,good for shopping,Positive,14/02/2024
Too costly..,Edenrobe,too costly,Neutral,21/03/2024
Good environment,Edenrobe,good environment,Positive,14/01/2024
Good one,Edenrobe,good one,Positive,16/03/2024
Nice sooting but costly,Edenrobe,nice sooting but costly,Positive,25/03/2024
Nice place,Edenrobe,nice place,Positive,03/02/2024
Awesome Quality,Edenrobe,awesome quality,Positive,02/03/2024
shopping was good,Edenrobe,shopping was good,Positive,13/03/2024
Everthing is available on ace,Edenrobe,everthing is available on ace,Positive,09/03/2024
Good to buy in winter,Edenrobe,good to buy in winter,Positive,14/03/2024
Excellent variety of clothes for all ages,Edenrobe,excellent variety of clothes for all ages,Positive,23/02/2024
nice place for shoping,Edenrobe,nice place for shoping,Positive,02/01/2024
Moderate,Edenrobe,moderate,Neutral,05/02/2024
Excellent !,Edenrobe,excellent,Positive,16/02/2024
Best place for shoping,Edenrobe,best place for shoping,Positive,09/02/2024
Excellent,Edenrobe,excellent,Positive,09/01/2024
Good,Edenrobe,good,Positive,20/01/2024
Good stuff compared to price,Edenrobe,good stuff compared to price,Positive,25/02/2024
Nice dressing variety,Edenrobe,nice dressing variety,Positive,12/03/2024
Good shopping place,Edenrobe,good shopping place,Positive,01/03/2024
Worth shopping place,Edenrobe,worth shopping place,Positive,23/01/2024
its good,Edenrobe,its good,Positive,19/01/2024
Good shoping place,Edenrobe,good shoping place,Positive,14/03/2024
Good collection,Edenrobe,good collection,Positive,08/03/2024
Good place to shop,Edenrobe,good place to shop,Positive,21/01/2024
Good place,Edenrobe,good place,Positive,19/02/2024
Good Experience,Edenrobe,good experience,Positive,15/03/2024
Quality,Edenrobe,quality,Neutral,19/02/2024
Good,Edenrobe,good,Positive,29/01/2024
Nice,Edenrobe,nice,Positive,28/03/2024
Love to shop,Edenrobe,love to shop,Positive,06/01/2024
For Brand lovers,Edenrobe,for brand lovers,Neutral,20/02/2024
All in one,Edenrobe,all in one,Neutral,06/01/2024
For quality shopping,Edenrobe,for quality shopping,Neutral,26/01/2024
Reasonable price fabulous variety,Edenrobe,reasonable price fabulous variety,Positive,25/02/2024
Ace Good&wonderfull,Edenrobe,ace goodwonderfull,Neutral,24/01/2024
Wow shop,Edenrobe,wow shop,Positive,17/01/2024
Fit dresses,Edenrobe,fit dresses,Positive,26/03/2024
Good,Edenrobe,good,Positive,24/03/2024
Good,Edenrobe,good,Positive,05/03/2024
Expensive,Edenrobe,expensive,Negative,18/02/2024
Good,Edenrobe,good,Positive,22/02/2024
Average type,Edenrobe,average type,Negative,03/02/2024
Brands,Edenrobe,brands,Neutral,20/02/2024
Good,Edenrobe,good,Positive,06/01/2024
Brand store,Edenrobe,brand store,Neutral,07/02/2024
god,Edenrobe,god,Neutral,28/03/2024
Good place,Edenrobe,good place,Positive,27/02/2024
good,Edenrobe,good,Positive,28/03/2024
Below Satisfaction,Edenrobe,below satisfaction,Neutral,06/03/2024
Hit!!!,Edenrobe,hit,Neutral,19/01/2024
Ok,Edenrobe,ok,Positive,26/01/2024
Good,Edenrobe,good,Positive,18/03/2024
Good,Edenrobe,good,Positive,26/01/2024
Worst customer service ever,Edenrobe,worst customer service ever,Negative,14/02/2024
Nice place.,Edenrobe,nice place,Positive,19/03/2024
Good,Edenrobe,good,Positive,28/01/2024
fine,Edenrobe,fine,Positive,31/03/2024
Good stuff,Edenrobe,good stuff,Positive,27/02/2024
Medium type of dressing and other articles.,Edenrobe,medium type of dressing and other articles,Negative,30/01/2024
expensive..but quality,Edenrobe,expensivebut quality,Neutral,27/03/2024
Nice store,Edenrobe,nice store,Positive,25/02/2024
Normal quality with too much prices.,Edenrobe,normal quality with too much prices,Positive,09/01/2024
Good,Edenrobe,good,Positive,16/02/2024
Finely stitched,Edenrobe,finely stitched,Positive,21/02/2024
Best place for clothing but expensive,Edenrobe,best place for clothing but expensive,Positive,23/01/2024
Nice place for shopping,Edenrobe,nice place for shopping,Positive,24/03/2024
Variety of cloths of Men's and Kids.,Edenrobe,variety of cloths of mens and kids,Neutral,20/02/2024
Very good,Edenrobe,very good,Positive,24/02/2024
"Clothing store
Decent collection",Edenrobe,clothing store decent collection,Positive,04/03/2024
Nice Shoping Mall,Edenrobe,nice shoping mall,Positive,29/03/2024
Decent collection,Edenrobe,decent collection,Positive,23/03/2024
Style,Edenrobe,style,Neutral,12/01/2024
Garments good option,Edenrobe,garments good option,Positive,14/01/2024
Fine,Edenrobe,fine,Positive,10/02/2024
Everything at one place,Edenrobe,everything at one place,Neutral,13/02/2024
Not good stuff for XXL,Edenrobe,not good stuff for xxl,Negative,11/01/2024
Everything's available,Edenrobe,everythings available,Positive,27/02/2024
Quality variety of cloths,Edenrobe,quality variety of cloths,Neutral,08/03/2024
Nice shoping center,Edenrobe,nice shoping center,Positive,20/01/2024
Ok type place. With little variety and high prices,Edenrobe,ok type place with little variety and high prices,Positive,23/03/2024
Lovely awesome,Edenrobe,lovely awesome,Positive,23/02/2024
Good,Edenrobe,good,Positive,14/02/2024
Best,Edenrobe,best,Positive,27/01/2024
Too costly except few items,Edenrobe,too costly except few items,Negative,04/02/2024
having all seasons stuff and very costly shopping mall in the town.quality service.,Edenrobe,having all seasons stuff and very costly shopping mall in the townquality service,Positive,04/01/2024
good,Edenrobe,good,Positive,23/01/2024
"it,s a one of best clothing brand for office suits.",Edenrobe,its a one of best clothing brand for office suits,Positive,02/01/2024
A shop with good quality and price,engine,a shop with good quality and price,Positive,30/03/2024
"Good shop for kids, youth and middle aged generation... Staff and Manager are very helpful",engine,good shop for kids youth and middle aged generation staff and manager are very helpful,Positive,14/01/2024
"I bought a winter shirt with quality stuff, prices r reasonable, dealing is very well but articles are limited overall gud experience.",engine,i bought a winter shirt with quality stuff prices r reasonable dealing is very well but articles are limited overall gud experience,Positive,17/03/2024
Good service,engine,good service,Positive,11/03/2024
I love that paints.,engine,i love that paints,Positive,01/02/2024
Good place for shopping,engine,good place for shopping,Positive,23/02/2024
Rates are reasonable,engine,rates are reasonable,Positive,28/02/2024
â¤,engine,â,Neutral,13/02/2024
good as dealing well,engine,good as dealing well,Positive,24/01/2024
Its ok,engine,its ok,Positive,13/03/2024
Good,engine,good,Positive,02/02/2024
Lack of articals but overall a gud experience there,engine,lack of articals but overall a gud experience there,Neutral,25/01/2024
Discounted rates with limited stock.,engine,discounted rates with limited stock,Negative,09/02/2024
Good one staff Is very Good,engine,good one staff is very good,Positive,24/03/2024
Affordable brand and good quality garments,engine,affordable brand and good quality garments,Positive,15/03/2024
Good place fir shopping,engine,good place fir shopping,Positive,04/01/2024
Always a great experience,engine,always a great experience,Positive,24/03/2024
Their sales are good.,engine,their sales are good,Positive,03/03/2024
"Awsome designes.
Their sale strategy is better than others.
Staff is cooperative and designes are not repeated in next season. Sizes and fabric are perfect.",engine,awsome designes their sale strategy is better than others staff is cooperative and designes are not repeated in next season sizes and fabric are perfect,Positive,22/02/2024
Just ok,engine,just ok,Positive,27/03/2024
Nice,engine,nice,Positive,21/01/2024
Awesome Clothes,engine,awesome clothes,Positive,09/01/2024
Good quality stuff,engine,good quality stuff,Positive,28/01/2024
Nice,engine,nice,Positive,17/02/2024
Worth to visit,engine,worth to visit,Positive,19/02/2024
Awesome,engine,awesome,Positive,10/01/2024
Good,engine,good,Positive,19/02/2024
Not a good cloths for choice.,engine,not a good cloths for choice,Negative,13/03/2024
Great,engine,great,Positive,09/02/2024
Normal standard,engine,normal standard,Positive,13/03/2024
The service was nice and the workers were pleasant,FactoryPrice,the service was nice and the workers were pleasant,Positive,03/03/2024
Good place for shopping ... good products with medium range price,FactoryPrice,good place for shopping good products with medium range price,Positive,14/02/2024
Nice place for purchas the shirts trozers shorts in economy price,FactoryPrice,nice place for purchas the shirts trozers shorts in economy price,Positive,28/01/2024
quality is good..,FactoryPrice,quality is good,Positive,01/03/2024
The clothes quality is good.,FactoryPrice,the clothes quality is good,Positive,13/01/2024
Best in town,FactoryPrice,best in town,Positive,03/02/2024
"Fantastic shopping mall is here
I realized that after my yesterday busy
Staff is very friendly and honest",FactoryPrice,fantastic shopping mall is here i realized that after my yesterday busy staff is very friendly and honest,Positive,03/02/2024
Sky touching prices. No place for try. No washroom. Product on sale was of low quality. Never recommend.,FactoryPrice,sky touching prices no place for try no washroom product on sale was of low quality never recommend,Positive,22/02/2024
Good ,FactoryPrice,good,Positive,16/02/2024
Nice and cheap in some case,FactoryPrice,nice and cheap in some case,Positive,14/02/2024
Substandard garments and high price tags.,FactoryPrice,substandard garments and high price tags,Positive,10/01/2024
Garments are in Variety.,FactoryPrice,garments are in variety,Neutral,28/01/2024
Extremely expensive!!,FactoryPrice,extremely expensive,Negative,13/03/2024
Nice shopping place,FactoryPrice,nice shopping place,Positive,10/02/2024
Ready to wear clothes,FactoryPrice,ready to wear clothes,Positive,11/01/2024
This is Best,FactoryPrice,this is best,Positive,13/02/2024
